unixtime,latitudine,longitudine,altitudine,precisione_orizzontale,precisione_verticale,geometry,delta_tempo,distanza_orizzontale,distanza_verticale,distanza_reale,pendenza,velocita,delta_velocita,accelerazione,pendenza_radianti,accelerazione_max,distanza_percorsa,time_from_start,stato,time_from_start_minuti,velocita_kmh,impianti
1734859650.0,46.506102,12.932139,1754.914113,3.9,10.1,POINT (1439599.1283478339 5861826.690030443),6.0,14.470630477609319,0.22006899999996676,14.472303782890846,0.8712856688340621,2.4120506304818075,0.1643632106841637,0.02739386844736062,0.015206803646595327,0.14917299431980538,1632.10690654416,603.0,Discesa,10.05,8.683382269734507,Valvan-Cuel D'Ajar
1734859707.0,46.506047,12.932252,1754.809588,4.4,11.3,POINT (1439611.7074502937 5861817.794533346),57.0,15.40661180442752,-0.1045249999999669,15.406966371351318,-0.38871294652750044,0.27029765563774244,-2.141752974844065,-0.037574613593755524,-0.006784320762033541,-0.06655367612837465,1642.7184039966064,660.0,Discesa,11.0,0.9730715602958728,Valvan-Cuel D'Ajar
1734859711.0,46.505903,12.932426,1752.475198,5.0,16.9,POINT (1439631.0770416919 5861794.504547215),4.0,30.291987800470384,-2.334389999999985,30.381802144967413,-4.406672375154004,7.595450536241853,7.325152880604111,1.8312882201510277,-0.07691094200311614,-0.7537527165350584,1664.2989721345182,664.0,Discesa,11.066666666666666,27.343621930470672,Valvan-Cuel D'Ajar
1734859714.0,46.505864,12.932548,1750.189586,4.5,16.9,POINT (1439644.6580195685 5861788.196853254),3.0,14.974310107421244,-2.2856120000001283,15.14773862356235,-8.678391008787083,5.049246207854117,-2.546204328387736,-0.8487347761292453,-0.15146649687880673,-1.4802112894345827,1674.6178721322724,667.0,Discesa,11.116666666666667,18.177286348274823,Valvan-Cuel D'Ajar
1734859717.0,46.505811,12.932657,1750.178227,4.8,17.5,POINT (1439656.791844065 5861779.624866153),3.0,14.856266683463609,-0.011358999999856678,14.856271025969868,-0.043807953002157014,4.952090341989956,-0.09715586586416158,-0.0323852886213872,-0.0007645930184465745,-0.007500656780143749,1684.8503714042702,670.0,Discesa,11.166666666666666,17.82752523116384,Valvan-Cuel D'Ajar
1734859720.0,46.505774,12.932785,1747.996448,4.0,17.7,POINT (1439671.0407388867 5861773.640653695),3.0,15.454507510162232,-2.181779000000006,15.60775326517247,-8.03558775892113,5.202584421724157,0.25049407973420124,0.08349802657806708,-0.14024746372612606,-1.3713217800386306,1695.5011281903476,673.0,Discesa,11.216666666666667,18.729303918206966,Valvan-Cuel D'Ajar
1734859723.0,46.505678,12.932911,1746.00775,5.9,17.1,POINT (1439685.0669947267 5861758.114067395),3.0,20.92392733241665,-1.988698000000113,21.0182219692213,-5.429322489089369,7.006073989740433,1.8034895680162766,0.6011631893387589,-0.0947595535871834,-0.9282006541071798,1709.9028640160839,676.0,Discesa,11.266666666666667,25.221866363065562,Valvan-Cuel D'Ajar
1734859726.0,46.505552,12.932954,1743.945615,5.8,14.4,POINT (1439689.8537328306 5861737.735464486),3.0,20.93323477619885,-2.0621349999998984,21.034560108395077,-5.626060806421484,7.011520036131692,0.005446046391258896,0.0018153487970862987,-0.09819328498946224,-0.9617288997607901,1724.292781024566,679.0,Discesa,11.316666666666666,25.241472130074094,Valvan-Cuel D'Ajar
1734859729.0,46.505463,12.932898,1741.108903,4.6,10.3,POINT (1439683.619841346 5861723.34108296),3.0,15.686287723843503,-2.836712000000034,15.940720106888131,-10.250598101372391,5.31357336896271,-1.6979466671689822,-0.5659822223896608,-0.1789066871676277,-1.745726951693703,1735.0795057575262,682.0,Discesa,11.366666666666667,19.128864128265757,Valvan-Cuel D'Ajar
1734859736.0,46.505356,12.932908,1737.306263,4.6,10.6,POINT (1439684.733036254 5861706.035509402),7.0,17.341340175708183,-3.8026400000001104,17.753370104271234,-12.36816158603911,2.5361957291816046,-2.7773776397811054,-0.39676823425444363,-0.21586514209506638,-2.1012291289430305,1746.9984927382916,689.0,Discesa,11.483333333333333,9.130304625053776,Valvan-Cuel D'Ajar
1734859740.0,46.505357,12.933076,1734.308622,4.7,10.6,POINT (1439703.4347107075 5861706.197243576),4.0,18.702373787993057,-2.9976409999999305,18.94108330773851,-9.105991875295663,4.735270826934627,2.1990750977530227,0.5497687744382557,-0.1589295398837622,-1.5525436286944025,1759.8938210293297,693.0,Discesa,11.55,17.04697497696466,Valvan-Cuel D'Ajar
1734859744.0,46.505423,12.933431,1728.832277,4.1,10.6,POINT (1439742.953129939 5861716.871705681),4.0,40.93469921463302,-5.4763450000000375,41.29939411603399,-7.619925785688383,10.324848529008497,5.5895777020738695,1.3973944255184674,-0.1329927937178781,-1.300816769831088,1788.2602485230066,697.0,Discesa,11.616666666666667,37.16945470443059,Valvan-Cuel D'Ajar
