1734859208.005000,46.510597,12.947120,1369.942296,249.0,4.053763,4.9,12.2
1734859212.003000,46.510556,12.946964,1373.185311,249.0,4.097321,7.3,12.1
1734859215.005000,46.510517,12.946801,1374.057275,250.0,4.582201,5.4,11.9
1734859217.000000,46.510486,12.946645,1374.524576,250.0,4.496870,4.5,11.8
1734859220.004000,46.510454,12.946459,1375.092234,251.0,4.207520,4.3,11.7
1734859222.005000,46.510423,12.946323,1376.092838,251.0,4.962309,4.7,11.4
1734859225.008000,46.510371,12.946166,1377.161122,249.0,4.332711,4.7,11.3
1734859228.006000,46.510319,12.946027,1378.342132,248.0,4.384725,3.9,11.3
1734859231.004000,46.510262,12.945912,1380.571987,247.0,4.230137,4.3,11.2
1734859234.008000,46.510220,12.945771,1382.765422,248.0,3.566114,4.9,11.0
1734859237.004000,46.510174,12.945623,1385.045606,247.0,4.439523,5.6,11.1
1734859240.005000,46.510131,12.945458,1387.804835,246.0,4.016006,5.7,11.0
1734859243.006000,46.510102,12.945299,1390.399083,247.0,3.358635,4.6,11.0
1734859246.000000,46.510075,12.945138,1392.765743,249.0,4.373359,4.7,11.3
1734859249.000000,46.510043,12.944992,1393.244143,249.0,3.831671,4.6,11.6
1734859252.004000,46.510001,12.944835,1394.511229,249.0,4.330025,4.4,11.5
1734859255.008000,46.509951,12.944676,1395.618549,248.0,3.898593,4.6,11.4
1734859258.008000,46.509904,12.944533,1397.182376,247.0,3.507932,4.7,11.2
1734859261.003000,46.509867,12.944391,1399.188386,248.0,3.579563,6.1,10.9
1734859264.004000,46.509824,12.944235,1401.261889,247.0,4.087764,5.8,10.9
1734859267.002000,46.509771,12.944085,1404.112088,247.0,4.049542,4.7,11.0
1734859271.005000,46.509723,12.943932,1408.999543,247.0,3.546275,4.8,11.1
1734859274.006000,46.509694,12.943798,1413.253544,247.0,3.867743,4.7,10.9
1734859277.005000,46.509647,12.943644,1417.890518,246.0,3.979286,4.1,10.7
1734859280.007000,46.509609,12.943512,1423.065255,247.0,3.627244,4.5,10.8
1734859283.005000,46.509573,12.943371,1428.198025,246.0,3.571382,5.0,11.3
1734859286.005000,46.509530,12.943232,1431.871826,246.0,3.740995,5.6,11.8
1734859290.007000,46.509480,12.943062,1437.287019,245.0,4.016324,5.1,13.0
1734859293.008000,46.509424,12.942890,1441.491686,245.0,4.666549,4.3,13.4
1734859295.006000,46.509385,12.942764,1444.578185,244.0,3.873669,4.9,13.0
1734859298.002000,46.509334,12.942592,1450.012204,245.0,3.927971,4.3,11.9
1734859300.002000,46.509301,12.942468,1452.981611,246.0,4.343790,4.2,11.5
1734859302.002000,46.509264,12.942345,1456.253667,245.0,4.619323,4.0,11.2
1734859305.005000,46.509212,12.942184,1461.310181,245.0,3.983610,4.6,11.4
1734859308.005000,46.509168,12.942051,1466.663582,244.0,4.119961,5.0,11.5
1734859311.006000,46.509134,12.941929,1471.705952,244.0,4.106664,5.8,11.6
1734859314.006000,46.509094,12.941760,1474.457401,245.0,4.306639,5.6,11.5
1734859317.006000,46.509062,12.941596,1478.085704,247.0,4.329246,4.7,11.4
1734859320.005000,46.509033,12.941448,1481.890579,247.0,4.118270,4.7,11.5
1734859323.005000,46.509002,12.941292,1485.532320,247.0,4.019178,4.6,11.4
1734859326.004000,46.508972,12.941125,1489.856518,248.0,3.874203,4.0,11.3
1734859329.007000,46.508940,12.940970,1493.932887,248.0,3.662312,4.5,11.3
