unixtime,latitudine,longitudine,altitudine,precisione_orizzontale,precisione_verticale,geometry,delta_tempo,distanza_orizzontale,distanza_verticale,distanza_reale,pendenza,velocita,delta_velocita,accelerazione,pendenza_radianti,accelerazione_max
1734873998.0,46.505405,12.933078,1734.283974,3.0,7.1,POINT (1439703.657349689 5861713.96048746),2.0,15.013437688950756,-1.5382959999999457,15.092039816526555,-5.850183391735782,7.546019908263277,2.401074134089993,1.2005370670449964,-0.10210496203127863,-0.9999101475649702
1734874000.0,46.505454,12.933243,1730.858627,2.6,7.8,POINT (1439722.0250656698 5861721.885472658),2.0,20.00445902159792,-3.4253469999998742,20.295600085171134,-9.716479726125426,10.147800042585567,2.60178013432229,1.300890067161145,-0.16958456292416557,-1.6556620119131318
1734874002.0,46.50552,12.933403,1727.416757,3.2,7.8,POINT (1439739.8361841969 5861732.559953808),2.0,20.764886009858866,-3.441870000000108,21.04820562659281,-9.411455062852768,10.524102813296405,0.3763027707108382,0.1881513853554191,-0.1642608782502707,-1.6041626207481494
1734874005.0,46.505526,12.933567,1724.707417,3.4,6.4,POINT (1439758.0925806868 5861733.530361828),3.0,18.282169032239068,-2.7093399999998837,18.481835075526472,-8.429638576040642,6.160611691842157,-4.363491121454248,-1.4544970404847495,-0.14712494790503558,-1.4380945015137652
1734874007.0,46.505531,12.933699,1723.673324,3.4,5.6,POINT (1439772.7867534717 5861734.339035259),2.0,14.716408072278321,-1.0340929999999844,14.75269517350872,-4.019454745324243,7.37634758675436,1.2157358949122026,0.6078679474561013,-0.07015271944081819,-0.6876338330514783
1734874009.0,46.505651,12.93381,1720.993514,3.6,5.5,POINT (1439785.1432169494 5861753.747219937),2.0,23.007820891662828,-2.6798100000000886,23.16335907891895,-6.6435268528395515,11.581679539459476,4.205331952705116,2.102665976352558,-0.11595141752670697,-1.134936259047442
1734874011.0,46.505771,12.93387,1717.951366,3.5,5.9,POINT (1439791.8223863973 5861773.155447459),2.0,20.525364797149777,-3.0421479999999974,20.74958468283111,-8.430665308876046,10.374792341415555,-1.2068871980439209,-0.6034435990219604,-0.14714286777355173,-1.438268396026907
1734874013.0,46.50589,12.933864,1713.961544,3.0,5.6,POINT (1439791.1544694523 5861792.40198206),2.0,19.258120551788462,-3.9898220000000038,19.667076213278403,-11.704726897696137,9.833538106639201,-0.5412542347763534,-0.2706271173881767,-0.2042860224115391,-1.9901358694880236
1734874015.0,46.505986,12.933945,1711.609419,2.9,5.9,POINT (1439800.1713482067 5861807.928628911),2.0,17.95496769487652,-2.3521250000001146,18.10837808694321,-7.463324503047633,9.054189043471604,-0.7793490631675972,-0.3896745315837986,-0.13025958572295077,-1.2742359442250966
1734874017.0,46.50603,12.934086,1707.90808,3.4,5.9,POINT (1439815.8673964087 5861815.045017883),2.0,17.233946766742598,-3.7013389999999617,17.62693483144016,-12.121297302256577,8.81346741572008,-0.24072162775152428,-0.12036081387576214,-0.21155654753748357,-2.059923403428899
1734874019.0,46.505974,12.934224,1702.361639,3.3,5.3,POINT (1439831.229486138 5861805.987796555),2.0,17.833313181709187,-5.546440999999959,18.67592211387173,-17.276515816032575,9.337961056935866,0.5244936412157859,0.26224682060789295,-0.3015320842626434,-2.913408284648263
1734874021.0,46.505942,12.934361,1700.025771,3.2,4.8,POINT (1439846.4802563768 5861800.8122457),2.0,16.10504019036669,-2.3358679999998913,16.273555199978578,-8.25260736172225,8.136777599989289,-1.201183456946577,-0.6005917284732885,-0.14403517033637592,-1.4081044245346643
1734874024.0,46.505831,12.934436,1696.939442,3.5,4.0,POINT (1439854.8292181862 5861782.859577284),3.0,19.799077416076234,-3.086328999999978,20.038185876571283,-8.860101680065322,6.679395292190428,-1.457382307798861,-0.48579410259962036,-0.1546379463786211,-1.510959508834561
1734874027.0,46.505734,12.934562,1693.741859,3.4,3.9,POINT (1439868.8554740262 5861767.171239403),3.0,21.044234325829375,-3.1975830000001224,21.285777773017955,-8.639767198678765,7.095259257672652,0.4158639654822238,0.13862132182740794,-0.15079238422275154,-1.4736736221010414
1734874031.0,46.505628,12.934544,1690.311947,3.9,3.9,POINT (1439866.851723192 5861750.027314556),4.0,17.260625034260556,-3.4299120000000585,17.598109924110787,-11.239015956920133,4.399527481027697,-2.695731776644955,-0.6739329441612387,-0.19615783313243748,-1.9119915073323275
1734874034.0,46.505534,12.934469,1687.984705,3.3,3.9,POINT (1439858.5027613824 5861734.8242393555),3.0,17.344701174870632,-2.327241999999842,17.50013469011373,-7.642073996991413,5.833378230037909,1.4338507490102126,0.4779502496700709,-0.1333793529285434,-1.3045753318056366
1734874036.0,46.505439,12.934458,1685.287725,3.9,4.0,POINT (1439857.2782469837 5861719.459456021),2.0,15.41350065462801,-2.696980000000167,15.647674062001002,-9.924865491047798,7.823837031000501,1.9904588009625916,0.9952294004812958,-0.17322158063634788,-1.6908183091729294
1734874039.0,46.505342,12.934351,1682.741144,3.9,4.1,POINT (1439845.3670614688 5861703.7712312685),3.0,19.69763275758703,-2.546580999999833,19.861566177981175,-7.366544261688199,6.620522059327058,-1.2033149716734428,-0.4011049905578143,-0.12857045186035385,-1.2578041120288754
1734874042.0,46.505198,12.934329,1679.980011,4.0,4.3,POINT (1439842.9180326713 5861680.481547182),3.0,23.418094006160715,-2.7611329999999725,23.580309207579727,-6.72446815090714,7.860103069193243,1.2395810098661846,0.41319366995539486,-0.1173641096788245,-1.148700574345857
1734874044.0,46.505108,12.934274,1678.674242,3.9,4.4,POINT (1439836.7954606777 5861665.925525955),2.0,15.791252065384796,-1.3057690000000548,15.845146716704162,-4.726998955370232,7.922573358352081,0.062470289158838455,0.031235144579419227,-0.08250169550954303,-0.8084238107114838
1734874046.0,46.505054,12.934159,1677.303186,3.9,5.2,POINT (1439823.9937192365 5861657.191924786),2.0,15.49710854653052,-1.3710559999999532,15.557640176391956,-5.055892904222533,7.778820088195978,-0.14375327015610306,-0.07187663507805153,-0.08824197780690153,-0.8645308162101232
1734874048.0,46.504947,12.934101,1674.394927,3.8,7.2,POINT (1439817.5371887705 5861639.8864814285),2.0,18.47065660619119,-2.9082590000000437,18.698211836293748,-8.947927000710736,9.349105918146874,1.5702858299508957,0.7851429149754479,-0.15617078739050333,-1.5258154651250055
1734874050.0,46.504858,12.934006,1672.13421,3.4,10.1,POINT (1439806.9618371453 5861625.492260098),2.0,17.861457658761843,-2.2607170000001133,18.003958205067896,-7.213545330074108,9.001979102533948,-0.3471268156129259,-0.17356340780646295,-0.12590011675165433,-1.231819887459991
1734874052.0,46.504765,12.933921,1669.103439,3.4,10.2,POINT (1439797.4996804278 5861610.451132652),2.0,17.769860004943943,-3.030770999999959,18.026466582493285,-9.67905036678705,9.013233291246642,0.011254188712694457,0.005627094356347229,-0.16893129736679885,-1.6493450546139867
1734874054.0,46.504643,12.933838,1667.27567,3.4,10.4,POINT (1439788.2601626918 5861590.719800181),2.0,21.787477345914546,-1.8277689999999893,21.864009435968065,-4.795360681439847,10.932004717984032,1.9187714267373899,0.9593857133686949,-0.08369483271180427,-0.8200880969481708
1734874056.0,46.504535,12.933829,1665.444496,3.6,10.8,POINT (1439787.2582872745 5861573.252755925),2.0,17.495753467120387,-1.831173999999919,17.59132137164604,-5.9750458439346525,8.79566068582302,-2.1363440321610128,-1.0681720160805064,-0.10428422293426294,-1.0211749623853477
1734874058.0,46.504435,12.933873,1664.651383,3.0,10.8,POINT (1439792.1563448696 5861557.079597741),2.0,16.89858023148624,-0.7931130000001758,16.91718185959904,-2.687131393922674,8.45859092979952,-0.3370697560234994,-0.1685348780117497,-0.04689929025765541,-0.45991339423870997
1734874060.0,46.504325,12.93397,1662.709368,2.9,10.7,POINT (1439802.9543354765 5861539.289158101),2.0,20.810966910178394,-1.9420149999998557,20.90138191595868,-5.331225674448822,10.45069095797934,1.99210002817982,0.99605001408991,-0.09304744118598728,-0.9114788307586776
1734874062.0,46.504237,12.934049,1661.987581,3.0,10.6,POINT (1439811.7485752492 5861525.056832307),2.0,16.73014496923371,-0.7217869999999493,16.74570772362115,-2.47037423321557,8.372853861810574,-2.077837096168766,-1.038918548084383,-0.04311616412604196,-0.4228385319308764
1734874073.0,46.504164,12.934129,1662.218033,2.6,10.3,POINT (1439820.6541345126 5861513.250488618),11.0,14.788466353493764,0.23045200000001387,14.79026183719278,0.8927807671333555,1.3445692579266164,-7.028284603883957,-0.6389349639894507,0.015581963884957832,0.1528528801508512
1734874081.0,46.504067,12.93417,1659.045092,3.1,10.4,POINT (1439825.2182336352 5861497.562631807),8.0,16.338294039644513,-3.172941000000037,16.643539488803597,-10.990194539849574,2.0804424361004497,0.7358731781738332,0.09198414727172916,-0.19181508015507823,-1.8701882031126704
1734874086.0,46.503968,12.934236,1657.902045,3.2,10.2,POINT (1439832.5653200275 5861481.551342895),5.0,17.61649939917758,-1.1430470000000241,17.653543766774792,-3.7124340448338615,3.5307087533549586,1.450266317254509,0.29005326345090177,-0.06479419734548167,-0.6351864089239939
1734874088.0,46.503858,12.934206,1655.300642,2.8,10.3,POINT (1439829.2257353037 5861463.7610560795),2.0,18.101025692299775,-2.6014030000001185,18.287001631806845,-8.178308825482306,9.143500815903423,5.612792062548464,2.806396031274232,-0.14273841624957656,-1.3955138159781357
1734874090.0,46.503768,12.934188,1653.218298,2.7,10.4,POINT (1439827.2219844696 5861449.205393639),2.0,14.692934576746008,-2.082343999999921,14.839760207323906,-8.066476177879048,7.419880103661953,-1.7236207122414697,-0.8618103561207349,-0.14078656833767716,-1.3765582701206613
1734874092.0,46.503664,12.934253,1651.453716,2.7,10.6,POINT (1439834.457751371 5861432.385547053),2.0,18.310203762899697,-1.7645820000000185,18.395034967991506,-5.504681319654998,9.197517483995753,1.7776373803338004,0.8888186901669002,-0.09607481330100617,-0.9410446596117706
1734874094.0,46.503529,12.934351,1649.328907,2.9,10.6,POINT (1439845.3670614688 5861410.552140342),2.0,24.407185323545892,-2.124808999999914,24.499500172542188,-4.975437370432731,12.249750086271094,3.0522326022753408,1.5261163011376704,-0.08683776384081993,-0.8508082264209
1734874096.0,46.503395,12.934455,1646.72496,2.9,10.6,POINT (1439856.9442885113 5861388.880516187),2.0,24.570133892600527,-2.603947000000062,24.7077319776447,-6.049634550614857,12.35386598882235,0.10411590255125525,0.05205795127562762,-0.1055860414506368,-1.0338755533333939
1734874098.0,46.503281,12.93451,1643.565945,2.8,10.6,POINT (1439863.066860505 5861370.443504855),2.0,19.42702433937341,-3.159014999999954,19.682191200494714,-9.235987945555431,9.841095600247357,-2.5127703885749924,-1.2563851942874962,-0.16119839932444904,-1.5745166193294886
1734874100.0,46.503191,12.934578,1641.561982,2.9,10.7,POINT (1439870.636585879 5861355.887996898),2.0,16.406204744671324,-2.0039630000001125,16.528140301602154,-6.963990639680192,8.264070150801077,-1.57702544944628,-0.78851272472314,-0.12154456574048543,-1.189418571676541
1734874103.0,46.503086,12.934581,1638.138881,3.0,10.7,POINT (1439870.9705443513 5861338.906601407),3.0,16.984679010701427,-3.4231009999998605,17.326192355874433,-11.394777622307874,5.775397451958145,-2.488672698842932,-0.8295575662809774,-0.19887638704184327,-1.938141982973723
1734874106.0,46.50297,12.934625,1633.72589,3.0,10.8,POINT (1439875.8686019462 5861320.146240708),3.0,19.38922643454522,-4.412991000000147,19.8850846439272,-12.82210376712743,6.628361547975733,0.8529640960175886,0.2843213653391962,-0.22378792776874193,-2.177081087920962
1734874108.0,46.502865,12.934687,1630.614104,2.7,10.9,POINT (1439882.7704103752 5861303.164914247),2.0,18.33031390872554,-3.111785999999938,18.592568948432397,-9.634776991428396,9.296284474216199,2.6679229262404656,1.3339614631202328,-0.168158581195819,-1.6418721234632403
1734874110.0,46.502783,12.934753,1626.871301,2.7,11.0,POINT (1439890.1174967678 5861289.903329722),2.0,15.160781726995554,-3.7428030000000945,15.615949438648038,-13.867549563673649,7.807974719324019,-1.48830975489218,-0.74415487744609,-0.2420343990696082,-2.3512433601462606
1734874112.0,46.502727,12.934886,1623.905232,2.9,11.0,POINT (1439904.9229890432 5861280.846649346),2.0,17.355865318230006,-2.966068999999834,17.607487789497377,-9.698000458315015,8.803743894748688,0.9957691754246696,0.4978845877123348,-0.1692620388575161,-1.652543351888872
1734874114.0,46.502647,12.935015,1620.776722,2.8,11.3,POINT (1439919.2832033555 5861267.908550706),2.0,19.328997685318484,-3.1285100000000057,19.58054458739969,-9.193921109746388,9.790272293699845,0.9865283989511564,0.4932641994755782,-0.16046419453368538,-1.56740702297677
1734874116.0,46.502609,12.935213,1618.070532,2.9,11.4,POINT (1439941.3244625325 5861261.76296052),2.0,22.881988218786717,-2.706190000000106,23.041459353973107,-6.744883949273543,11.520729676986553,1.7304573832867085,0.8652286916433543,-0.11772043257974152,-1.1521719823455254
1734874118.0,46.502552,12.935385,1616.392599,3.1,11.1,POINT (1439960.471414949 5861252.544583296),2.0,21.25051212253974,-1.677932999999939,21.316653691954027,-4.5146877825947795,10.658326845977014,-0.8624028310095397,-0.43120141550476987,-0.07879616650584084,-0.7721907466279488
1734874120.0,46.50252,12.93557,1614.399012,3.1,10.5,POINT (1439981.065520746 5861247.369358214),2.0,21.234409533371096,-1.993586999999934,21.327787915240766,-5.363477671222907,10.663893957620383,0.005567111643369316,0.002783555821684658,-0.09361034472003765,-0.9169768823528072
1734874122.0,46.502521,12.935772,1613.110122,2.7,10.3,POINT (1440003.552057886 5861247.531083953),2.0,22.487118707552547,-1.2888900000000376,22.524025954514876,-3.2804223781176662,11.262012977257438,0.5981190196370552,0.2990595098185276,-0.05725417135425566,-0.5613566120698735
1734874124.0,46.502526,12.93598,1610.994255,2.7,10.2,POINT (1440026.706511971 5861248.339712687),2.0,23.168569753142133,-2.11586699999998,23.26498479621041,-5.218056072363549,11.632492398105205,0.37047942084776686,0.18523971042388343,-0.09107225901642742,-0.8921843470699719
1734874126.0,46.50254,12.936182,1609.373054,2.5,10.3,POINT (1440049.1930491114 5861250.603873535),2.0,22.600238425954593,-1.6212010000001555,22.658311269651055,-4.103015980190449,11.329155634825527,-0.3033367632796775,-0.15166838163983876,-0.07161113811626577,-0.7019049928625353
1734874129.0,46.502461,12.936306,1608.139323,2.4,11.0,POINT (1440062.9966659697 5861237.827544955),3.0,18.808891789976098,-1.233730999999807,18.849310399783615,-3.7528241828395887,6.283103466594539,-5.046052168230989,-1.6820173894103296,-0.0654991382390165,-0.642087209202998
1734874132.0,46.502398,12.93641,1607.355723,3.2,11.1,POINT (1440074.5738930122 5861227.638840533),3.0,15.422123193249686,-0.7836000000002059,15.442017768017566,-2.908704309475156,5.147339256005855,-1.1357642105886834,-0.3785880701962278,-0.05076646716728957,-0.4978051518580066
1734874135.0,46.50239,12.936568,1605.344059,3.2,10.2,POINT (1440092.1623725574 5861226.345037642),3.0,17.636001208678156,-2.0116639999998824,17.75036142396523,-6.507361853068931,5.916787141321744,0.7694478853158886,0.2564826284386295,-0.1135748899547323,-1.1117758883126112
1734874137.0,46.502388,12.9367,1604.574764,3.3,10.0,POINT (1440106.8565453421 5861226.021586949),2.0,14.697732280082045,-0.7692950000000565,14.717851370835039,-2.9961881628223,7.358925685417519,1.4421385440957755,0.7210692720478877,-0.0522933484505291,-0.5127639734802116
1734874139.0,46.502391,12.936846,1604.161207,3.4,9.9,POINT (1440123.109190998 5861226.506762993),2.0,16.25988581156777,-0.4135569999998552,16.265144204631934,-1.4569575404187416,8.132572102315967,0.7736464168984476,0.3868232084492238,-0.025428706142065403,-0.24942872432961538
1734874142.0,46.502434,12.937024,1601.744984,3.5,10.0,POINT (1440142.9240603591 5861233.460955899),3.0,20.999758255396962,-2.4162230000001728,21.13830599577087,-6.563564520871623,7.046101998590291,-1.0864701037256763,-0.3621567012418921,-0.1145558115562939,-1.121336195754947
1734874145.0,46.502432,12.937215,1597.830932,2.8,10.3,POINT (1440164.1860831007 5861233.137504945),3.0,21.264482866614998,-3.914051999999856,21.621702861783707,-10.429423680981088,7.207234287261236,0.1611322886709452,0.05371076289031507,-0.1820277823185867,-1.775847645555472
1734874148.0,46.502434,12.937405,1595.283326,2.7,10.4,POINT (1440185.3367863514 5861233.460955899),3.0,21.15317632219032,-2.547606000000087,21.306035878335265,-6.867403972102335,7.102011959445089,-0.10522232781614704,-0.035074109272049014,-0.11985881037772256,-1.1730016321531507
1734874150.0,46.502434,12.937538,1593.005509,2.8,10.4,POINT (1440200.142278627 5861233.460955899),2.0,14.80549227562733,-2.2778169999999136,14.979687974358782,-8.746347342877726,7.489843987179391,0.38783202773430236,0.19391601386715118,-0.15265255865627375,-1.491712297896223
1734874153.0,46.502451,12.937701,1590.055223,3.1,10.6,POINT (1440218.2873556265 5861236.210289495),3.0,18.35218391736916,-2.9502860000000055,18.587814342163504,-9.132696010167676,6.195938114054502,-1.2939058731248894,-0.43130195770829644,-0.15939561496117546,-1.557058034217021
1734874156.0,46.502461,12.937876,1587.226896,3.1,10.8,POINT (1440237.768266515 5861237.827544955),3.0,19.547925830444296,-2.828327000000172,19.751476853427476,-8.23281140827912,6.5838256178091585,0.38788750375465675,0.12929583458488558,-0.1436896657702218,-1.4047500384857017
1734874158.0,46.502454,12.938021,1585.649345,3.2,11.1,POINT (1440253.9095926802 5861236.695466103),2.0,16.18097688314943,-1.5775509999998576,16.25769602528651,-5.568406501042073,8.128848012643255,1.5450223948340964,0.7725111974170482,-0.09718702753264123,-0.9519045802017864
1734874160.0,46.502448,12.938164,1583.20282,3.2,11.2,POINT (1440269.8282798636 5861235.725112917),2.0,15.94823460289863,-2.446525000000065,16.13479691612877,-8.721419903624156,8.067398458064385,-0.06144955457886958,-0.03072477728943479,-0.15221749276720806,-1.4874937921288114
1734874163.0,46.502417,12.938336,1580.396294,3.3,11.9,POINT (1440288.9752322799 5861230.711623163),3.0,19.792444678316677,-2.8065260000000762,19.990434075649848,-8.07061411522249,6.663478025216616,-1.4039204328477695,-0.4679734776159232,-0.14085878896856147,-1.377259741124743
1734874166.0,46.502386,12.93849,1577.441916,3.4,13.3,POINT (1440306.1184338622 5861225.698136267),3.0,17.861254472939883,-2.954377999999906,18.103943236598994,-9.392089575121542,6.034647745532998,-0.6288302796836183,-0.20961009322787275,-0.1639228867281062,-1.6008914633254074
1734874206.0,46.502218,12.941085,1531.377937,3.9,14.9,POINT (1440594.9925124706 5861198.528321526),40.0,290.14898263632927,-46.06397900000002,293.7827807857522,-9.020976028837968,7.344569519643805,1.3099217741108076,0.03274804435277019,-0.15744573344670548,-1.5381692309582622
1734874208.0,46.502218,12.941299,1528.826413,3.4,13.6,POINT (1440618.8148835006 5861198.528321526),2.0,23.82237102999352,-2.551523999999972,23.95862342066527,-6.113427961098217,11.979311710332635,4.634742190688829,2.3173710953444147,-0.1066994465046477,-1.0447365860932547
1734874210.0,46.502276,12.941469,1526.531316,3.4,12.2,POINT (1440637.7391969354 5861207.908367127),2.0,21.121432111980297,-2.2950969999999415,21.2457610995794,-6.201542131055224,10.6228805497897,-1.3564311605429342,-0.6782155802714671,-0.10823732888805936,-1.05973617346404
1734874212.0,46.502393,12.94156,1524.137658,3.4,12.0,POINT (1440647.8692705976 5861226.830213702),2.0,21.462867241175495,-2.3936579999999594,21.595931765804597,-6.363646502227913,10.797965882902298,0.1750853331125981,0.08754266655629905,-0.11106658389689775,-1.0873244662303065
1734874214.0,46.502496,12.941583,1521.73615,3.4,11.9,POINT (1440650.4296188857 5861243.487941402),2.0,16.8533461210203,-2.401508000000149,17.023587052938485,-8.109735212769172,8.511793526469242,-2.286172356433056,-1.143086178216528,-0.14154158092774494,-1.3838912684348113
1734874216.0,46.502616,12.941522,1519.000242,3.5,11.8,POINT (1440643.6391299476 5861262.895042599),2.0,20.56079562895417,-2.735907999999881,20.742022791427175,-7.579497943631284,10.371011395713587,1.859217869244345,0.9296089346221725,-0.13228719476450548,-1.2939556450150893
1734874218.0,46.50272,12.941416,1516.021108,3.4,11.4,POINT (1440631.8392639235 5861279.714564954),2.0,20.54587964606051,-2.9791340000001583,20.7607420344351,-8.250336567813264,10.38037101721755,0.009359621503962856,0.004679810751981428,-0.1439955375060299,-1.4077196514231807
1734874220.0,46.50282,12.941384,1514.475937,3.7,11.1,POINT (1440628.2770402178 5861295.887212945),2.0,16.560313426299007,-1.545170999999982,16.632243811239064,-5.330587094201015,8.316121905619532,-2.064249111598018,-1.032124555799009,-0.09303629585812485,-0.9113699679989589
1734874222.0,46.502919,12.941477,1513.167709,3.8,10.9,POINT (1440638.6297528616 5861311.898163759),2.0,19.066441856136446,-1.3082279999998718,19.11127064204302,-3.925150078222613,9.55563532102151,1.2395134154019782,0.6197567077009891,-0.06850679249989758,-0.6715260811474123
1734874224.0,46.502983,12.941642,1510.917431,2.9,10.6,POINT (1440656.9974688427 5861322.248692934),2.0,21.08332147859398,-2.2502779999999802,21.203070429704894,-6.0922640892348685,10.601535214852447,1.0458998938309367,0.5229499469154684,-0.10633006725816209,-1.0411335119216056
